epoch,train_loss,val_loss
1,0.9456445443183353,0.9178910840649572
2,0.8244588671647793,0.8083054358809397
3,0.7803960885120494,0.7724214655986615
4,0.7505679889661442,0.7817884289027163
5,0.7346111757991802,0.7317866590508542
6,0.715077538273182,0.7303075533667629
7,0.7121065242842985,0.7239374593295084
8,0.6915989520196796,0.7212462737468226
9,0.6830477144333595,0.6974098395886158
10,0.6705732853157147,0.7107395312715714
11,0.6583579640774869,0.7084913436523628
12,0.6544276856644864,0.6977470366906073
13,0.644217729839309,0.7090557203159289
14,0.6392614027285657,0.6792069498469304
15,0.629847526877543,0.6906589691066815
16,0.6190082376899705,0.676680766299852
17,0.6089404956019768,0.6745592673830152
18,0.6051456083496698,0.6615686214935771
19,0.594695974890367,0.6726594892620228
20,0.5879398160972003,0.6689944149507527
21,0.5814664356187634,0.6554353869520833
22,0.5747909918455678,0.680818028832637
23,0.5712639726120069,0.6650415626463793
24,0.5665893026291534,0.663490365347476
25,0.5636225284184077,0.6598988223671461
26,0.560928584645978,0.6627263386171934
27,0.5579203977836709,0.6649640878771039
28,0.5565076429863763,0.6649557314164525
29,0.5555679572436539,0.6639732195968252
30,0.5545870730232353,0.66482099152983
