epoch,train_loss,val_loss
1,0.9460726302485266,0.8445508309966412
2,0.7816660978472716,0.8176251322955999
3,0.7283893537674831,0.7202094477248138
4,0.7022458514969532,0.6902936682116345
5,0.6690506598164935,0.6800139520675463
6,0.6674692938044323,0.6768334711437239
7,0.6546724234192446,0.6629253050353291
8,0.6382513914154317,0.6826194298483944
9,0.6212496862170914,0.6446273640689301
10,0.6129427666704297,0.6242559868320654
11,0.5927236840348946,0.6390962431956023
12,0.5793565872581291,0.6252731910083982
13,0.5703828911614752,0.6259699055951802
14,0.5588249711659043,0.6176007192674954
15,0.5455326517054367,0.6111950615109322
16,0.5358396776976887,0.5960132929071345
17,0.5214666239705694,0.6491766583730018
18,0.5172625467186848,0.5921820149243013
19,0.49863328636595355,0.5862258009437717
20,0.4856125717077775,0.5791228487580045
21,0.47710981713985234,0.5971479834671457
22,0.46757011948910143,0.5843995781410922
23,0.45919812085027273,0.5838876537397718
24,0.45201270256878434,0.5935888393506419
25,0.4456230684838391,0.5904813703941992
26,0.44120416169036114,0.5951705102122795
27,0.43663061695968236,0.5950097372976783
28,0.4339672836253969,0.597464846332898
29,0.4323779830186487,0.601746817031293
30,0.43119748638620525,0.6005569843971575
